year,code,jurisdiction,season,tmean_c,tmax_c,precip_mm
2019,BC,British Columbia,fire,11.096371596445332,16.187307812555456,466.21392377059817
2020,BC,British Columbia,fire,10.521514269073984,15.592337889792857,530.6641178847876
2021,BC,British Columbia,fire,11.59535331868633,16.81063663287842,436.2136210674924
2022,BC,British Columbia,fire,11.531625730978739,16.85540644961827,399.1166193231734
2023,BC,British Columbia,fire,12.940571553148619,18.639187417273174,317.47158500548625
2024,BC,British Columbia,fire,11.545309864607255,16.891881074190977,414.62362378743984
2025,BC,British Columbia,fire,11.989559247800893,17.35956756932196,405.8274948806078
1959,MB,Manitoba,fire,10.07365908837468,14.744862352225336,474.47153509902495
1960,MB,Manitoba,fire,11.770074981495648,16.571978991343382,376.44648713755475
1961,MB,Manitoba,fire,11.525968160194676,17.018358719955188,267.23636751624224
1962,MB,Manitoba,fire,10.941347830847722,15.706728475902647,375.46604655832726
1963,MB,Manitoba,fire,11.504659056490299,16.660088879072628,365.8672356813828
1964,MB,Manitoba,fire,11.135826255892779,16.386354560084115,367.74833560442704
1965,MB,Manitoba,fire,9.5433779270439,14.583362433351292,383.5523172007018
1966,MB,Manitoba,fire,11.442398024765117,16.511366086954922,314.9887034669113
1967,MB,Manitoba,fire,11.143446064550005,16.555822083661912,263.3984846379498
1968,MB,Manitoba,fire,10.273775897938787,14.98641519486602,367.6193024239852
1969,MB,Manitoba,fire,9.806236488134914,14.792512861309865,362.3848351997716
1970,MB,Manitoba,fire,11.377776059163423,16.568846143898725,313.6200946755995
1971,MB,Manitoba,fire,11.339385711864299,16.530523389325406,365.1946999687203
1972,MB,Manitoba,fire,10.514768762352833,15.766151492108447,374.10563930434614
1973,MB,Manitoba,fire,12.02235466862153,17.096856180437864,317.90741255765016
1974,MB,Manitoba,fire,9.959420204551067,14.509323665494321,350.990582849071
1975,MB,Manitoba,fire,11.234908569912516,15.948367518598793,424.35029398744047
1976,MB,Manitoba,fire,12.393152163517643,17.816623269841237,364.58205511157877
1977,MB,Manitoba,fire,11.937480535900553,16.67890305592563,407.99527811131634
1978,MB,Manitoba,fire,10.159332493589838,15.195864414870437,391.027635719179
1979,MB,Manitoba,fire,10.053853817217895,15.049608143851463,335.1644868703793
1980,MB,Manitoba,fire,11.540484816597575,16.619960209004397,426.56646184399415
1981,MB,Manitoba,fire,12.18675528388777,17.615956605471695,322.8822185522004
1982,MB,Manitoba,fire,10.93364654897674,15.84210694066572,391.00044804005313
1983,MB,Manitoba,fire,11.317554694233289,16.37067901252391,415.5284914018269
1984,MB,Manitoba,fire,11.95532042558099,16.833619918945303,349.5519353594136
1985,MB,Manitoba,fire,10.849659521424716,15.711980442656888,385.457517149656
1986,MB,Manitoba,fire,11.017303683467272,16.204646501093194,374.07699564599017
1987,MB,Manitoba,fire,12.190392949347519,17.32121437621168,347.48588914012834
1988,MB,Manitoba,fire,12.90810006701868,18.11995593431126,334.3827102627689
1989,MB,Manitoba,fire,12.278135545775127,17.61916292612976,327.6749748871434
1990,MB,Manitoba,fire,11.8299726612738,17.146017883123406,298.2259671308842
1991,MB,Manitoba,fire,12.886403490104605,17.949169007817517,382.2915275051435
1992,MB,Manitoba,fire,9.645389884781675,14.729441646914754,346.5541742052707
1993,MB,Manitoba,fire,10.80828782038065,15.668840168433242,411.9647062206301
1994,MB,Manitoba,fire,12.424004552718438,17.741580227265175,297.239845136929
1995,MB,Manitoba,fire,11.89283008710517,17.046773896700795,398.2001658168173
1996,MB,Manitoba,fire,12.285618750799586,17.20322952288552,342.0471281616631
1997,MB,Manitoba,fire,11.601212835494609,16.384942754357507,415.8363456872255
1998,MB,Manitoba,fire,13.02700757651853,17.864023066495832,368.45856338682825
1999,MB,Manitoba,fire,12.391401916541522,17.21233197310088,409.1705244420932
2000,MB,Manitoba,fire,10.841911293576972,15.508543092744965,409.8647635088336
2001,MB,Manitoba,fire,12.904122994160101,17.94480691260195,395.9241192212969
2002,MB,Manitoba,fire,10.85942695110368,15.644966916298042,391.11583464776044
2003,MB,Manitoba,fire,13.352786451592399,18.398576062508162,335.3249553529915
2004,MB,Manitoba,fire,9.413897107396362,14.224238004585178,342.5616588494231
2005,MB,Manitoba,fire,11.698529918831703,16.55647378093032,508.2741619363145
2006,MB,Manitoba,fire,12.856144988456483,17.90048410228385,379.3966887471634
2007,MB,Manitoba,fire,11.585837349271022,16.47798429571175,437.12143961243635
2008,MB,Manitoba,fire,11.643926746855687,16.5307858398474,387.1097894357216
2009,MB,Manitoba,fire,10.35576929873368,15.191904228001524,379.826203175555
2010,MB,Manitoba,fire,11.916216395806696,16.706605444002037,474.3971203014298
2011,MB,Manitoba,fire,12.847319110342786,18.07240350610877,364.1144149589001
2012,MB,Manitoba,fire,12.76765968232904,17.77094736085488,345.02649809393125
2013,MB,Manitoba,fire,13.092267793384398,18.35680327298947,328.09795819532314
2014,MB,Manitoba,fire,11.956944998639834,16.94444392524281,377.7620406873449
2015,MB,Manitoba,fire,12.169148431429425,17.285205316183966,404.94496802847766
2016,MB,Manitoba,fire,12.86643781568614,17.904251823644035,398.46059945465487
2017,MB,Manitoba,fire,12.730874075409039,17.673328806244864,305.47629652908483
2018,MB,Manitoba,fire,12.031556169331987,17.340955572755075,384.05606076793646
2019,MB,Manitoba,fire,11.831172013456335,16.706832018517684,384.4122135126607
2020,MB,Manitoba,fire,11.612409047984514,16.410374836918262,459.30895874281475
2021,MB,Manitoba,fire,12.569356382250085,17.690998234457158,361.89175988033185
2022,MB,Manitoba,fire,12.651880855313074,17.795947596612987,404.78547826764907
2023,MB,Manitoba,fire,14.803500859261074,20.117399830144016,338.48959483377695
2024,MB,Manitoba,fire,13.887403409601315,18.857851790965473,403.72387983647087
2025,MB,Manitoba,fire,13.719870617816474,19.088218169841664,292.1645461864708
1959,NB,New Brunswick,fire,15.024589680928573,19.945384567497566,423.38069761893973
1960,NB,New Brunswick,fire,15.592258464411296,20.69266200509855,359.75583634952187
1961,NB,New Brunswick,fire,14.875412916249644,19.619091539588542,486.8033283337754
1962,NB,New Brunswick,fire,13.29996629487359,17.806962551076,546.7280944728628
1963,NB,New Brunswick,fire,13.762862585802583,18.842430908256507,528.5666612068453
1964,NB,New Brunswick,fire,13.615338070179654,18.86915123622447,358.47313042811584
1965,NB,New Brunswick,fire,14.198459653526632,19.377561374038716,376.74002639797453
1966,NB,New Brunswick,fire,14.357109915460931,19.601318347198795,348.1203335904729
1967,NB,New Brunswick,fire,14.605004782906489,19.5595971015158,545.736511474556
1968,NB,New Brunswick,fire,14.374322542041206,19.620058955500088,290.175610666315
1969,NB,New Brunswick,fire,14.003060446228112,18.97013665434266,494.3705147581899
